Date,News,Topic,Company,Sentiment
9/10/2023,Access Holdings awaits CBN approval to publish HY results,Company | Product News,"['ACCESSCORP', 'CBN']",neutral
9/10/2023,Unity Bank Grows Gross Earnings to N27.5 Billion in H1’2023,Financials,['UNITYBNK'],bullish
9/9/2023,Naira falls to N930/$ at parallel market  ,Stock Movement,[],bearish
9/8/2023,"Oando, CWG leads gainers as NGX halts 2-day losing streak",Stock Movement,"['OANDO', 'CWG']",bullish
9/8/2023,It may take 300 years to bridge Nigeria’s infrastructure gap-SEC ,Macro,['SEC'],bearish
9/8/2023,"Turkish court sentences cryptocurrency exchange founder to 11,196 years in prison",Legal | Regulation,[],bearish
9/8/2023,PZ Cussons Nigeria delays financial statements amid ongoing audits,Legal | Regulation,['PZ'],neutral
9/8/2023,Nigeria’s weak external reserves are a concern – Fitch Ratings,Treasuries | Corporate Debt,[],bearish
9/8/2023,"Cardinal Stone Securities, Apt Securities, and eight others earn N18.486 billion commissions ",Company | Product News,"['Cardinal Stone Securities', 'Apt Securities']",neutral
9/7/2023,Equities extend decline with N112 billion loss,Markets,[],bearish
9/7/2023,"CBN to clear $10 billion FX backlog in 2 weeks, accuse BDCs of round-tripping",Company | Product News,"['CBN', 'FX']",bearish
9/7/2023,Naira falls at black market as dollar index hit 6 months high  ,Stock Movement,[],bearish
9/6/2023,NGX losses N27billion as investors await judgement of Presidential Election Petitions Tribunal,Stock Movement,['NGX'],bearish
9/6/2023,PZ Cussons minority shareholders reject N21/share acquisition offer,M&A | Investments,['PZ'],bearish
9/6/2023,Fidelity Bank to pay shareholders N8bn interim dividend for HY’23,Dividend,['FIDELITYBK'],neutral
9/6/2023,BUA Cement to pay N94.8 billion dividends for FY 2022,Dividend,['BUACEMENT'],neutral
9/6/2023,Nigeria has the highest level of crypto awareness globally,Macro,[],neutral
9/5/2023,Nigerian Stocks: List of Dividends announced in 2023,Dividend,['Nigerian Stocks: List of Dividends'],neutral
9/5/2023,Nigerian equities gain for three straight months under Tinubu,Markets,[],bullish
9/4/2023,"NGX sustains bullish trend on Dangote Sugar, NASCON merger talks ",Stock Movement,"['DANGSUGAR', 'NASCON']",bullish
9/4/2023,GTCO to pay shareholders N14.72 billion interim dividends in HY’2023 ,Dividend,['GTCO'],neutral
9/4/2023,DMO opens subscription for FGN bonds at 12% interest rate,Treasuries | Corporate Debt,"['DMO', 'FGN']",neutral
9/4/2023,SWOOT: Seplat Energy crosses N1 trillion in market capitalisation,Stock Commentary,['Seplat Energy'],neutral
9/4/2023,How Nigeria’s Stock Market Reached a Historic High,Markets,[],bullish
9/4/2023,How forex losses have impacted Nigeria’s NGX industrial sector,Macro,[],bearish
9/3/2023,"Habari Pay post N1.3 billion profits in 6 months, up 300%",Macro,[],bullish
9/2/2023,NGX emerges as second best-performing market in Africa,Company | Product News,['NGX'],bullish
9/2/2023,Financial literacy will curb rising unclaimed dividends – NGX,General News | Opinion,['NGX'],bullish
